person_id,service_number,name_enc,password_hash,rank,unit_id,pseudonymous_id,active,created_at
888a77fa-ac59-4672-9794-c619c37e04c0,SN-100001,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",WO2,c8f037c5-9cea-4c27-8611-db7d8696d873,a789808b-9d6e-4182-8b54-ba7064f7ac61,True,2025-07-05
33ac9f28-11c9-4b64-957a-de04b086d442,SN-100002,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",Maj,c8f037c5-9cea-4c27-8611-db7d8696d873,72e0f47d-0ed0-409a-9bbb-0564203ceda6,True,2025-07-05
eabce13c-4adb-4b12-81b8-0938bfca6abe,SN-100003,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",WO1,39e58163-2426-40dd-a849-5519bdefffd6,45ad8569-ef44-4e61-939f-51d9e4a14686,True,2025-07-05
e175f1a2-a047-4ea5-b78a-3660375d3267,SN-100004,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",Maj,ec2bab09-5921-4e4f-889e-ae2dd031d1bb,999d258f-dc9e-4e2e-be14-d6d118a5404d,True,2025-07-05
c2a28b1a-f7e4-4f9f-88cb-197126ac7dc0,SN-100005,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",Pte,ed82aaa1-b6c5-42fa-976e-527762feba75,4494bc6e-3d0d-425e-8d18-b856f5e83356,True,2025-07-05
d902fe26-f865-45d6-ba19-283fbb07e771,SN-100006,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",Lt,78c97399-a1cc-41aa-befa-be08dfbf02c5,496c28eb-4211-4e2e-81d0-a22d9bc59ef8,True,2025-07-05
7e065321-e39a-446b-ac2d-20c55d579a99,SN-100007,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",WO2,c8f037c5-9cea-4c27-8611-db7d8696d873,86578f0d-5375-4a2a-b754-ef3fee5da4df,True,2025-07-05
bcb442a4-ca5e-44a8-8757-6e62b0246346,SN-100008,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",LCpl,39e58163-2426-40dd-a849-5519bdefffd6,5afd666b-497f-46ed-b98f-7d4ca698ae5e,True,2025-07-05
1264ea37-8301-4068-87c2-be3d35138633,SN-100009,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",Capt,ec2bab09-5921-4e4f-889e-ae2dd031d1bb,b3c25dee-163d-4b92-b954-bfbe12e5e16f,True,2025-07-05
e0514560-dd76-452a-9fd6-0cbdba84023d,SN-100010,,"$argon2id$v=19$m=65536,t=3,p=4$syntheticHashPlaceholder",LCpl,ec2bab09-5921-4e4f-889e-ae2dd031d1bb,e3781c20-9024-4d35-93d0-ea9a3e3ea717,True,2025-07-05
